country,code,continent,region1,region2,population
Romania,ROU,Europe,Eastern Europe,,19238000
Russian Federation,RUS,Europe,Eastern Europe,,145934000
Rwanda,RWA,Africa,Eastern Africa,Sub-Saharan Africa,12952000
Saint Barthélemy,BLM,North America,Caribbean,Latin America and the Caribbean,10000
Saint Helena,SHN,Africa,Western Africa,Sub-Saharan Africa,6000
Saint Kitts and Nevis,KNA,North America,Caribbean,Latin America and the Caribbean,53000
Saint Lucia,LCA,North America,Caribbean,Latin America and the Caribbean,184000
Saint Pierre and Miquelon,SPM,North America,Northern America,,6000
Saint Vincent and the Grenadines,VCT,North America,Caribbean,Latin America and the Caribbean,111000
Samoa,WSM,Oceania,Polynesia,,198000
San Marino,SMR,Europe,Southern Europe,,34000
Sao Tome and Principe,STP,Africa,Middle Africa,Sub-Saharan Africa,219000
Saudi Arabia,SAU,Asia,Western Asia,,34814000
Senegal,SEN,Africa,Western Africa,Sub-Saharan Africa,16744000
Serbia,SRB,Europe,Southern Europe,,8737000
Seychelles,SYC,Africa,Eastern Africa,Sub-Saharan Africa,98000
Sierra Leone,SLE,Africa,Western Africa,Sub-Saharan Africa,7977000
Singapore,SGP,Asia,South-eastern Asia,,5850000
Sint Maarten (Dutch part),SXM,North America,Caribbean,Latin America and the Caribbean,43000
Slovakia,SVK,Europe,Eastern Europe,,5460000
Slovenia,SVN,Europe,Southern Europe,,2079000
Solomon Islands,SLB,Oceania,Melanesia,,687000
Somalia,SOM,Africa,Eastern Africa,Sub-Saharan Africa,15893000
South Africa,ZAF,Africa,Southern Africa,Sub-Saharan Africa,59309000
South Sudan,SSD,Africa,Eastern Africa,Sub-Saharan Africa,11194000
Spain,ESP,Europe,Southern Europe,,46755000
Sri Lanka,LKA,Asia,Southern Asia,,21413000
State of Palestine,PSE,Asia,Western Asia,,5101000
Sudan,SDN,Africa,Northern Africa,,43849000
Suriname,SUR,South America,South America,Latin America and the Caribbean,587000
Sweden,SWE,Europe,Northern Europe,,10099000
Switzerland,CHE,Europe,Western Europe,,8655000
Syrian Arab Republic,SYR,Asia,Western Asia,,17501000
